AD DisplayName,Assigned Roles,Department,Department ID,Detected Roles,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,POI Type Code,POI Type Description,Position Description Long,Squad ID,Squad Name,Username
AD DisplayName 1043,Assigned Roles 305,Department 61,Department ID 61,Detected Roles 375,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 110,POI Type Code 0,POI Type Description 0,Position Description Long 171,Squad ID 0,Squad Name 0,f331cd30
AD DisplayName 1044,Assigned Roles 252,Department 3,Department ID 3,Detected Roles 282,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 11,Job Profile 11,Management Level 3,Manager 118,POI Type Code 0,POI Type Description 0,Position Description Long 148,Squad ID 0,Squad Name 0,1110c7a3
AD DisplayName 1045,Assigned Roles 247,Department 24,Department ID 24,Detected Roles 304,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 24,Job Profile 24,Management Level 3,Manager 35,POI Type Code 0,POI Type Description 0,Position Description Long 123,Squad ID 0,Squad Name 0,2904c65d
AD DisplayName 1046,Assigned Roles 306,Department 79,Department ID 79,Detected Roles 377,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 93,Job Profile 93,Management Level 4,Manager 157,POI Type Code 0,POI Type Description 0,Position Description Long 172,Squad ID 0,Squad Name 0,9c134587
AD DisplayName 1047,Assigned Roles 305,Department 19,Department ID 19,Detected Roles 375,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 28,POI Type Code 0,POI Type Description 0,Position Description Long 23,Squad ID 0,Squad Name 0,d2e33e9f
AD DisplayName 1048,Assigned Roles 256,Department 47,Department ID 47,Detected Roles 368,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 40,Job Profile 40,Management Level 3,Manager 76,POI Type Code 0,POI Type Description 0,Position Description Long 12,Squad ID 0,Squad Name 0,02272f23
AD DisplayName 1049,Assigned Roles 247,Department 80,Department ID 80,Detected Roles 290,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 14,Job Profile 14,Management Level 3,Manager 185,POI Type Code 0,POI Type Description 0,Position Description Long 129,Squad ID 0,Squad Name 0,4e9ce3b6
AD DisplayName 1050,Assigned Roles 307,Department 52,Department ID 52,Detected Roles 378,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 60,Job Profile 60,Management Level 3,Manager 80,POI Type Code 0,POI Type Description 0,Position Description Long 89,Squad ID 0,Squad Name 0,deb74403
AD DisplayName 1051,Assigned Roles 268,Department 38,Department ID 38,Detected Roles 308,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 90,Job Profile 90,Management Level 0,Manager 164,POI Type Code 0,POI Type Description 0,Position Description Long 173,Squad ID 0,Squad Name 0,1d0d8de1
AD DisplayName 1052,Assigned Roles 292,Department 31,Department ID 31,Detected Roles 368,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 91,Job Profile 91,Management Level 5,Manager 56,POI Type Code 0,POI Type Description 0,Position Description Long 174,Squad ID 0,Squad Name 0,652b4e59
AD DisplayName 1053,Assigned Roles 265,Department 0,Department ID 0,Detected Roles 338,Functional Division 0,Functional Division ID 0,Group Division 0,Group Division ID 0,Job Code 28,Job Profile 28,Management Level 3,Manager 62,POI Type Code 0,POI Type Description 0,Position Description Long 136,Squad ID 0,Squad Name 0,2be68bed
AD DisplayName 1054,Assigned Roles 247,Department 47,Department ID 47,Detected Roles 296,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 21,Job Profile 21,Management Level 3,Manager 186,POI Type Code 0,POI Type Description 0,Position Description Long 12,Squad ID 0,Squad Name 0,ed138478
